first_name	last_name	id	age	mayor selection	List Selection	arrival time
Joshia	Roggieri	962752704	48	Roie Zivan	The Employees	10
Maribeth	Bull	921144065	17	Roie Zivan	Difference	22
Kellia	Rowston	224823495	75	Roie Zivan	Roots	19
Donnamarie	Bumby	761218379	61	Martin Abadi	The Future	2
Iosep	Marjot	708882280	21	Dolev Harbi	The Future	8
Margie	Spaule	311942015	39	Ben Rachmut	Difference	15
Wynne	MacCorkell	821149501	27	Dolev Harbi	The Future	1
Olenka	Claypool	237482714	55	Ben Rachmut	Difference	3
Ondrea	Pyrke	710141936	43	Omri Sarig	The Employees	25
Krista	Sloane	435220453	75	Dolev Harbi	Togeather	17
Charmine	Scotney	477784443	23	Omri Sarig	Roots	24
Andy	Fedder	894232920	23	Ben Rachmut	The Employees	7
Lu	Digg	756134093	55	Martin Abadi	The Future	5
Camala	Prettjohn	786222907	46	Martin Abadi	Togeather	26
Conn	Zoren	688854051	45	Martin Abadi	Roots	22
Wallache	Cristofalo	815908148	25	Roie Zivan	Togeather	28
Walton	Craise	630803894	40	Dolev Harbi	Roots	10
Calley	Abram	993901918	33	Dolev Harbi	Difference	6
Augusto	Dykins	899201731	44	Ben Rachmut	Togeather	27
Lydie	Olivet	896311439	51	Martin Abadi	Difference	18
Gaile	Huckleby	884177321	57	Martin Abadi	The Employees	4
Jacquetta	Cadamy	365828361	69	Ben Rachmut	The Future	20
Abbi	Crossgrove	473764806	54	Martin Abadi	Roots	8
Cassi	Phil	742181577	67	Dolev Harbi	The Employees	29
Nelle	Matskiv	702755627	71	Martin Abadi	The Future	26
Nathan	Haug	443912512	29	Martin Abadi	The Future	7
Lotty	Lowres	257066681	70	Omri Sarig	The Future	27
Shawn	Lisle	855700260	20	Omri Sarig	The Employees	9
Reinaldo	Wynrahame	661696299	28	Omri Sarig	Roots	16
Lesley	Burchill	332187866	24	Omri Sarig	The Future	12
Fabe	Beagles	777672803	70	Roie Zivan	Togeather	5
Kelsey	Shayler	186992139	76	Roie Zivan	The Future	1
Aldin	Kleinsinger	693421844	28	Roie Zivan	The Employees	28
Lavina	Serck	101614371	32	Roie Zivan	Difference	16
Michelina	Shetliff	955780893	58	Ben Rachmut	The Future	30
Johna	Readie	246507188	31	Dolev Harbi	Difference	3
Annamaria	Dunabie	649568410	23	Omri Sarig	The Future	28
Violette	Hartburn	932735376	53	Ben Rachmut	The Employees	25
Winni	Sommers	165994643	73	Ben Rachmut	The Future	13
Ilsa	Spooner	433585807	55	Ben Rachmut	Togeather	17
Bing	Espinet	230382442	22	Martin Abadi	Togeather	27
Rafael	Money	694768427	41	Ben Rachmut	Roots	8
Cheslie	Ilden	753534432	22	Martin Abadi	Roots	21
Doralia	Glenfield	558276860	75	Martin Abadi	The Future	21
Opalina	Mellanby	627996647	74	Martin Abadi	The Employees	29
Terry	Ripon	521901830	21	Roie Zivan	Difference	7
Spense	Neesam	912922734	51	Omri Sarig	The Future	27
Lynnett	Bussetti	441179379	35	Roie Zivan	The Future	7
Mara	Fellona	528713715	75	Martin Abadi	The Future	29
Toddie	Wiffield	327214142	60	Roie Zivan	Togeather	9
Eleonore	Learmond	629482665	44	Omri Sarig	Togeather	28
Craggy	Teodori	452083195	54	Dolev Harbi	The Employees	18
Alane	Mardy	866998016	20	Ben Rachmut	Difference	12
Haleigh	Yushkov	554743805	74	Ben Rachmut	The Future	13
Adelaida	Guerola	342495778	21	Omri Sarig	Roots	16
Tootsie	Gowman	120878344	41	Dolev Harbi	The Future	1
Nessa	Bambridge	915286493	26	Martin Abadi	The Future	20
Cullin	Alliot	208349566	45	Dolev Harbi	The Employees	5
Estrellita	Frick	174981410	66	Dolev Harbi	Togeather	9
Brittany	Cowcha	126408476	73	Roie Zivan	The Future	19
Marys	Hamon	699818568	58	Ben Rachmut	Togeather	20
Ernest	Gemelli	845605861	65	Roie Zivan	Roots	15
Sheila-kathryn	Baus	307516538	23	Dolev Harbi	The Employees	18
Aryn	Brinicombe	189002085	55	Martin Abadi	Roots	5
Ford	Hrinchenko	336885917	71	Omri Sarig	Roots	20
Clywd	Dicty	843039462	70	Martin Abadi	Difference	25
Klement	Loyndon	812539233	19	Dolev Harbi	Difference	19
Bab	Bottomer	933042474	63	Martin Abadi	The Future	13
Tamera	Bramford	190986635	65	Roie Zivan	Difference	23
Kean	Kitteringham	851116291	49	Martin Abadi	The Future	29
Xever	Jose	483716497	75	Roie Zivan	Difference	22
Kissiah	Buckham	384533534	64	Martin Abadi	The Employees	8
Roz	Barrell	572516552	56	Roie Zivan	Togeather	1
Siegfried	Idill	941214364	43	Martin Abadi	Togeather	22
Rick	Mallabund	608596388	57	Dolev Harbi	Togeather	17
Norean	Dagless	257849631	54	Roie Zivan	The Future	14
Niven	Touson	384412177	19	Dolev Harbi	Roots	28
Jasun	Richarz	508472395	72	Omri Sarig	The Employees	26
Trev	Dittson	124399953	35	Dolev Harbi	Roots	26
Violette	Nockles	713016842	73	Martin Abadi	The Employees	8
Charles	Roff	475532650	28	Roie Zivan	The Employees	14
Tonnie	Scriviner	599212778	43	Ben Rachmut	The Future	17
Malachi	Sawdy	361598718	30	Martin Abadi	Roots	3
Bil	Scud	277885748	64	Omri Sarig	The Employees	29
Dannie	Davidovic	674560312	74	Dolev Harbi	The Future	15
Alex	Westoll	142477722	47	Roie Zivan	Difference	18
Meghann	Franssen	135611164	46	Roie Zivan	Difference	21
Ernesta	Gwillyam	904802534	54	Martin Abadi	Difference	30
Aubrey	Lockie	220486979	19	Dolev Harbi	Roots	29
Melvin	St Ledger	254457097	58	Dolev Harbi	Difference	1
Charlena	Drewe	684813895	29	Roie Zivan	The Future	23
Nannette	Puddefoot	222230161	75	Omri Sarig	Togeather	18
Tommy	Pelos	641331088	66	Omri Sarig	The Future	12
Marlane	Duligall	685148143	22	Ben Rachmut	Roots	28
Helsa	Strut	519205178	60	Roie Zivan	The Future	3
Mauricio	Collins	155180090	73	Omri Sarig	Difference	25
Vallie	Goldie	369003321	46	Ben Rachmut	Difference	18
Duane	Bowater	338779207	24	Martin Abadi	Togeather	2
Hanny	Calven	418031670	28	Omri Sarig	Roots	23
Lisha	Marson	429732150	54	Dolev Harbi	Difference	1
Lorelle	Sreenan	773271134	22	Roie Zivan	Togeather	21
Corny	Judkins	771876646	19	Ben Rachmut	Togeather	27
Noni	De Clairmont	125135994	29	Dolev Harbi	Roots	26
Noella	Ahrendsen	761578188	64	Martin Abadi	Togeather	1
